ID,CID,Type,Country,Basin,Formation,Nstim,Nafter,Fraction,Mstim,Mafter,b-value,Mc,Grade,Reference,,,
AR-C8,5,HF,United States,Arkoma Basin,Fayetteville Shale,126,106,0.54,2.44,2.72,0.91,0.20,B,"Yoon et al., 2017",,,
AR-C11,6,HF,United States,Arkoma Basin,Fayetteville Shale,46,2,0.96,1.97,0.99,0.82,0.50,B,"Yoon et al., 2017",,,
AR-C15,8,HF,United States,Arkoma Basin,Fayetteville Shale,18,1,0.95,1.17,0.24,1.19,0.20,B,"Yoon et al., 2017",,,
AR-C16,9,HF,United States,Arkoma Basin,Fayetteville Shale,8,10,0.44,0.61,1.16,1.20,0.00,B,"Yoon et al., 2017",,,
N4-H456,1,HF,China,Sichuan Basin,Longmaxi Formation,205,25,0.89,3.00,2.10,1.43,1.00,C,"Lei et al., 2017",,,
N4-H123,2,HF,China,Sichuan Basin,Longmaxi Formation,50,1,0.98,2.50,1.10,1.43,1.00,C,"Lei et al., 2017",,,
Y8,3,HF,China,Sichuan Basin,Longmaxi Formation,230,20,0.92,2.85,1.45,1.26,NaN,C,"Lei et al., 2017",,,
Y6,4,HF,China,Sichuan Basin,Longmaxi Formation,440,0,1.00,4.50,NaN,1.26,NaN,C,"Lei et al., 2017",,,
Changning,5,HF,China,Sichuan Basin,Longmaxi Formation,1611,200,0.89,5.70,NaN,0.96,NaN,C,"Lei et al., 2019",,,
N5,6,HF,China,Sichuan Basin,Longmaxi Formation,170,18,0.90,2.40,1.80,1.43,NaN,C,"Tan et al., 2020",,,
SSFS-1993,1,EGS,France,Rhine Graben,Soultz Granite,72,3,0.96,1.90,1.10,0.80,0.10,A,"Charlety et al., 2007",,,
SSFS-2000,2,EGS,France,Rhine Graben,Soultz Granite,5261,608,0.90,2.50,2.40,0.72,0.00,A,"Charlety et al., 2007",,,
SSFS-2003,3,EGS,France,Rhine Graben,Soultz Granite,2393,1022,0.70,2.80,2.87,1.08,-0.20,A,"Charlety et al., 2007",,,
SSFS-2004,4,EGS,France,Rhine Graben,Soultz Granite,1692,254,0.87,2.30,2.30,0.61,-0.50,A,"Charlety et al., 2007",,,
SSFS-2005,5,EGS,France,Rhine Graben,Soultz Granite,1184,737,0.62,2.30,2.30,0.59,-0.50,A,"Charlety et al., 2007",,,
CB-HAB1,1,EGS,Australia,Cooper Basin,Big Lake Suite Granite,6869,1141,0.86,3.70,3.00,0.83,-0.50,A,"Baisch et al., 2006",,,
CB-HAB4,2,EGS,Australia,Cooper Basin,Big Lake Suite Granite,1583,240,0.87,3.10,3.10,1.62,1.30,A,"Baisch et al., 2006",,,
GS,1,EGS,Germany,North German Basin,Rotliegend Formation,20,0,1.00,-1.00,NaN,NaN,NaN,A,"Blšcher et al., 2018",,,
StGallen,1,EGS,Switzerland,Molasse Basin,Malm Formation,219,30,0.88,3.50,1.17,0.80,-0.50,B,"Diehl et al., 2017",,,
Basel,1,EGS,Switzerland,Rhine Graben,Basel Granite,1011,365,0.73,2.40,3.00,1.29,0.70,A,"Kraft & Diechmann, 2014",,,
Helsinki-St1,1,EGS,Finland,Fennoscandian Shield,Svecofennian Basement,969,184,0.84,1.87,1.84,1.19,0.20,B,"Kwiatek et al., 2019",,,
Paralana,1,EGS,Australia,Poontana Basin,Undifferentiated Mesoproterozoic Sediments,900,752,0.54,2.40,2.50,1.13,0.30,A,"Albaric et al., 2014",,,
KTB,1,EGS,Germany,Bohemian Massif,Metabasites & Gneisses,105,7,0.94,0.70,0.00,0.93,-0.70,A,"Baisch et al., 2002",,,
Pohang,1,EGS,South Korea,Pohang Basin,Granodiorite with Gabbroic Dyke,11,1640,0.01,1.01,5.34,0.72,0.50,B,"Ellsworth et al., 2019",,,
Berl’n,1,Hydrothermal,El Salvador,Berli_n-Tecapa Quaternary Volcanic Complex ,Basaltic to Andesitic Lava,36,16,0.69,1.47,1.72,1.94,0.90,A,"Kwiatek et al., 2014",,,
Youngstown,1,Disp,United States,Appalachian Basin,Mount Simon Sandstone,87,2,0.98,2.77,3.88,0.83,0.80,B,"Kim, 2013",,,
